date,n_pickles_messages,n_keyword_hits,patterns_matched,first_hit_ts_pt,first_hit_ts_et,first_hit_line,first_hit_excerpt
2023-11-24,24,0,,,,,
2023-11-26,2,0,,,,,
2023-11-27,8,0,,,,,
2023-11-30,31,6,executed_long|explicitly_claimed|narrative_plan|spx_0dte_reference,11/30/2023 6:24 AM,09:24,82,going to set-up a lightning quick SPX LONG CALLS at market open. literally in & out less than 120 seconds
2023-12-01,0,0,,,,,
2023-12-03,0,0,,,,,
2023-12-04,39,3,executed_long|explicitly_claimed,12/4/2023 6:29 AM,09:29,64,"SMALL SPX LONG when the bell rings, depending on how first 15m candle sets i'll scale higher or exit"
2023-12-05,27,5,executed_long,7:13 AM,10:13,90,"waiting for another LONG set-up to occur, need to see separation from WEEKLY POC & WEEKLY VWAP and will go into SPX LONG CALLS instead of FUTURES"
2023-12-06,18,1,executed_long,7:14 AM,10:14,130,going LONG SPX CALLS
2023-12-07,15,0,,,,,
2023-12-08,15,0,,,,,
2023-12-10,0,0,,,,,
2023-12-11,0,0,,,,,
2023-12-12,23,5,executed_long|explicitly_claimed,12/12/2023 6:46 AM,09:46,62,SPX LONG CALLS
2023-12-13,135,2,executed_long|spx_0dte_reference,12/13/2023 8:28 AM,11:28,321,0DTE SPX /   / 1
2023-12-14,18,4,executed_long|explicitly_claimed|hedge_signal|narrative_plan,12/14/2023 6:04 AM,09:04,71,primary defense should SPX see above 4750 /  / LONG SPX CALLS 4750 with the FRI EXPIRY to counter DELTA the 4755 SHORT CALLS ( effectively turning the CCS side of the IC into a 5-wide CDS ) which would bring the PnL on the CALL-SIDE of the WEEKLY IC closer to it's BREAK-EVEN & likely still net profit wh
2023-12-15,3,0,,,,,
2023-12-16,0,0,,,,,
2023-12-17,0,0,,,,,
2023-12-18,24,0,,,,,
2023-12-22,0,0,,,,,
2023-12-25,0,0,,,,,
2023-12-29,6,1,hedge_signal,12/29/2023 2:28 PM,17:28,28,JPM roll notes ( 'fund 1' DEC 2023 to MAR 2024 ROLL ):  / roll happened at 1412 EST size 39k vs 4768.71 SPOT / used 17k 4515c 0dte calls as COUNTER DELTA ( bought back part of their expiring short calls ) /  / SHORT CALLS 5015 SPX @ $33.99 / LONG PUTS 4510 SPX @ $40.07 / SHORT PUTS 3800 SPX @ $6.34 / no post mark
2023-12-30,0,0,,,,,
2024-01-01,0,0,,,,,
2024-01-03,20,1,hedge_signal,5:31 AM,08:31,44,"if RTH turns out to be a TREND DOWN day, will convert the CCS into a CALL LADDER SPREAD and WRITE CALLS on the way down"
2024-01-04,17,2,executed_long|explicitly_claimed,7:03 AM,10:03,94,"going into LONG PUTS here /  / Green TICKS are weak on this run-up. small position size until red TICKS start to come in, then scale in more"
2024-01-05,15,2,executed_long|explicitly_claimed,6:48 AM,09:48,73,SPX LONG CALLS on push up through OVNH
2024-01-07,0,0,,,,,
2024-01-12,0,0,,,,,
2024-01-13,0,0,,,,,
2024-01-14,0,0,,,,,
2024-01-17,22,0,,,,,
2024-01-19,19,1,executed_long,1/19/2024 7:22 AM,10:22,109,SPX LONG PUTS on NQ & ES struggling to hold above their VWAP /   /   /   / 2
2024-01-21,0,0,,,,,
2024-01-23,2,0,,,,,
2024-01-26,0,0,,,,,
2024-01-28,1,0,,,,,
2024-01-29,0,0,,,,,
2024-02-01,2,0,,,,,
2024-02-02,0,0,,,,,
2024-02-03,0,0,,,,,
2024-02-04,0,0,,,,,
2024-02-05,9,0,,,,,
2024-02-06,0,0,,,,,
2024-02-07,1,0,,,,,
2024-02-08,1,0,,,,,
2024-02-09,2,0,,,,,
2024-02-11,1,0,,,,,
2024-02-16,25,3,executed_long|explicitly_claimed|hedge_signal,2/16/2024 5:45 AM,08:45,32,"There won't be much in terms of day-trading for me today, setting SLs on the WEEKLY RANGE SHORT STRIKES ( the LONGS are at 0 BID ) so if premium starts to creep back into the contracts, it'll trigger my closing order, otherwise allowing them to go the full 100% WORTHLESS for max gain. /  / TUES brought "
2024-02-18,3,0,,,,,
2024-02-19,0,0,,,,,
2024-02-20,1,0,,,,,
2024-02-21,13,0,,,,,
2024-02-22,3,2,executed_long|explicitly_claimed|hedge_signal,2/22/2024 11:13 AM,14:13,44,"LONG SPX 4085 to effectively convert into a back ratio'd ( ~2:3 ) 10-wide CDS with the 4095 SHORT CALLS from the weekly range.  /  / The DELTA from the 4085's will out-pace the DELTA from the 4095's, the defense will result in profit from a range break / Closing below 4095 but above 4085 would be the best"
2024-02-23,1,0,,,,,
2024-02-24,0,0,,,,,
2024-02-25,20,0,,,,,
2024-02-26,8,0,,,,,
2024-02-27,0,0,,,,,
2024-02-28,1,0,,,,,
2024-02-29,0,0,,,,,
2024-03-01,2,0,,,,,
2024-03-03,0,0,,,,,
2024-03-04,32,1,spx_0dte_reference,3/4/2024 5:27 AM,08:27,51,PCS & CCS 0DTE SPX to effectively make an IC /   /   /   / 1 /   / 1
2024-03-08,0,0,,,,,
2024-03-10,0,0,,,,,
2024-03-15,2,0,,,,,
2024-03-17,1,0,,,,,
2024-03-18,10,2,spx_0dte_reference,3/18/2024 5:39 AM,08:39,58,0DTE SPX CCS just inside the PW HIGH
2024-03-20,5,1,hedge_signal,3:16 PM,18:16,68,"first defense: convert the SHORT STRIKE of the CALL-SIDE of the IC into a CDS with FRI EXPIRY and BACK RATIO into positive DELTA to help offset the losses / second defense: close out of CALL-SIDE of the IC at a loss, the above CDS & PUT-SIDE of the IC will offset some / all of the losses  / third defens"
2024-03-21,0,0,,,,,
2024-03-22,5,0,,,,,
2024-03-23,0,0,,,,,
2024-03-24,12,0,,,,,
2024-03-25,1,0,,,,,
2024-03-26,3,0,,,,,
2024-03-27,1,0,,,,,
2024-03-28,5,1,explicitly_claimed,3/28/2024 12:13 PM,15:13,40,"sold those SPX CALLS at 14.50 and scaled down to 12.20, AVG fill at 13.96 /   /   /   / 2"
2024-03-31,2,0,,,,,
2024-04-01,2,0,,,,,
2024-04-03,3,0,,,,,
2024-04-04,1,0,,,,,
2024-04-05,17,0,,,,,
2024-04-06,0,0,,,,,
2024-04-07,1,0,,,,,
2024-04-08,0,0,,,,,
2024-04-09,0,0,,,,,
2024-04-10,2,0,,,,,
2024-04-11,0,0,,,,,
2024-04-12,0,0,,,,,
2024-04-14,0,0,,,,,
2024-04-15,12,0,,,,,
2024-04-16,1,0,,,,,
2024-04-19,7,0,,,,,
2024-04-21,0,0,,,,,
2024-04-22,6,0,,,,,
2024-04-25,17,0,,,,,
2024-04-26,3,0,,,,,
2024-04-29,1,0,,,,,
2024-04-30,16,3,executed_long|hedge_signal,4/30/2024 2:30 PM,17:30,79,"I personally like to do DEBIT SPREADS as my primary method of DEFENSE for my RANGE /  / let's say SPX RANGE is 5000 - 5200 /  / SPX SPOT is 5100 on WEDS & I need to DEFEND the SHORT CALL at 5200 that's likely going to be challenged /  / Your ""x"" price can be anything as long as it follows some sort of logic -->"
2024-05-01,0,0,,,,,
2024-05-02,7,0,,,,,
2024-05-03,2,0,,,,,
2024-05-04,13,0,,,,,
2024-05-05,2,0,,,,,
2024-05-06,0,0,,,,,
2024-05-07,2,0,,,,,
2024-05-08,1,0,,,,,
2024-05-09,28,2,executed_long|narrative_plan|spx_0dte_reference,5:38 AM,08:38,37,if PS CLOSE doesn't hold in here or in RTH I'll be looking at 5200 SPX 0DTE LONGS /  / the 5200 SPX 15DTE LONGS I was aiming to get into never filled
2024-05-10,0,0,,,,,
2024-05-12,0,0,,,,,
2024-05-14,34,3,executed_long|explicitly_claimed|spx_0dte_reference,5/14/2024 6:13 AM,09:13,46,"snuck in a few SPX LONG 0DTE CALLS before the 15 minute cool-down window,  /  / will TP likely within OPENING DRIVE /   /   /   / 2"
2024-05-15,24,0,,,,,
2024-05-16,25,1,spx_0dte_reference,7:10 AM,10:10,184,0DTE SPX PCS
2024-05-17,26,0,,,,,
2024-05-19,10,0,,,,,
2024-05-20,3,0,,,,,
2024-05-21,8,0,,,,,
2024-05-22,18,0,,,,,
2024-05-24,0,0,,,,,
2024-05-27,1,0,,,,,
2024-05-31,1,0,,,,,
2024-06-02,3,0,,,,,
2024-06-03,0,0,,,,,
2024-06-04,0,0,,,,,
2024-06-05,1,0,,,,,
2024-06-06,3,0,,,,,
2024-06-07,1,0,,,,,
2024-06-09,0,0,,,,,
2024-06-10,32,1,spx_0dte_reference,6/10/2024 7:05 AM,10:05,57,0DTE SPX CCS
2024-06-12,5,0,,,,,
2024-06-13,36,3,executed_long|explicitly_claimed,7:44 AM,10:44,126,SPX LONG PUTS /   /   /   / 1
2024-06-14,0,0,,,,,
2024-06-16,1,0,,,,,
2024-06-17,14,0,,,,,
2024-06-18,5,0,,,,,
2024-06-20,18,1,executed_long|spx_0dte_reference,6/20/2024 6:40 AM,09:40,106,0DTE SPX LONG PUTS /   /   /   / 2
2024-06-21,24,1,spx_0dte_reference,6/21/2024 6:51 AM,09:51,53,LONG 0DTE SPX PUTS
2024-06-23,1,0,,,,,
2024-06-24,1,0,,,,,
2024-06-25,0,0,,,,,
2024-06-28,4,1,hedge_signal,6/28/2024 3:00 PM,18:00,70,JPM COLLAR ROLL notes (fund 1 June 2024 to September 2024):  / roll happened at 1410 EST size 39.6k vs 5483.56 spot / Size increased from 37.5k / used 14.7k 5330c 0DTE as COUNTER DELTA /  / -5770c $34.42 --> 31.22 / +5185p $42.08 --> 43.85 / -4375p $7.61 --> 7.91 /  / POST-MARKET rolled entire COLLAR down by varying 
2024-06-30,0,0,,,,,
2024-07-01,0,0,,,,,
2024-07-03,0,0,,,,,
