date,label,confidence,evidence_type,first_qualifying_time_et,side,hedge_only,excerpt,journal_ref,reviewer,notes,proposed_reasoning
2023-11-20,1,High,executed,10:39,call,False,adding to my SPX LONG CALLS,2023-11-20.txt:83-83,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2023-11-21,1,High,executed,09:39,call,False,going to add to these LONGS with 0DTE SPX LONG CALLS,2023-11-21.txt:117-119,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2023-11-22,1,High,executed,09:35,call,False,going to go LARGE 0DTE SPX LONG CALLS,2023-11-22.txt:95-95,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2023-11-24,0,High,,,,False,"FRI, 24 NOV 2023 PMI this morning and an early close to the market today, historically HOLIDAY VOLUME is low when entering the weekend, that doesn't mean great trades can't be found, adjust your expectations and lower...",2023-11-24.txt:14-41,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-11-26,0,High,,,,False,Some thoughts while running the models this weekend: it's possible SPX sees 4475 - 4425 early this week from a wake-up on the VIX into an expansion of volatility and / or due to 52 WEEK HIGHS being reachable by many b...,2023-11-26.txt:25-35,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2023-11-27,0,High,,,,False,"MON, 27 NOV 2023 Major data events today: 6 MO & 2 YR AUCTION at 1130 EST 3 MO & 5 YR AUCTION at 1300 EST OVN INVENTORY so far has been SHORT, PRICE unable to stay away from VWAP during GLOBEX HOURS. NQ currently bare...",2023-11-27.txt:14-46,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-11-30,1,High,executed,09:24,call,False,going to set-up a lightning quick SPX LONG CALLS at market open. literally in & out less than 120 seconds,2023-11-30.txt:82-82,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2023-12-01,0,High,,,,False,Good job weekly rangers!! See ya next week! Pickles,2023-12-01.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2023-12-03,0,High,,,,False,"===================================================================== ===================================================================== SUN, 3 DEC 2023 SPX WEEKLY RANGES NOTE --> upside has extended out ~75 from l...",2023-12-03.txt:6-26,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2023-12-04,1,Medium,executed,09:29,,False,"SMALL SPX LONG when the bell rings, depending on how first 15m candle sets i'll scale higher or exit",2023-12-04.txt:64-66,model-draft,Side ambiguous from keywords; requires human review.,first_positive=executed_long_directional side=none -> label=1 Medium
2023-12-05,1,High,executed,10:13,call,False,"waiting for another LONG set-up to occur, need to see separation from WEEKLY POC & WEEKLY VWAP and will go into SPX LONG CALLS instead of FUTURES",2023-12-05.txt:90-92,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2023-12-06,1,High,executed,10:14,call,False,going LONG SPX CALLS,2023-12-06.txt:130-132,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2023-12-07,0,High,,,,False,"THURS, 7 DEC 2023 OVN INVENTORY was mixed, but now to RTH OPEN could make it net LONG. Jobless claims at 0830 EST & 4 WK AUCTION at 1130 as our only potentially high impact data for today. VIX opened above 13.00 & mos...",2023-12-07.txt:16-36,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-12-08,0,High,,,,False,===================================================================== =====================================================================,2023-12-08.txt:15-17,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-12-10,0,High,,,,False,"===================================================================== ===================================================================== SUN, 10 DEC 2023 NOTES Both upside & downside ranges have extended further ou...",2023-12-10.txt:6-32,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2023-12-11,0,High,,,,False,"I won't be online much today, GL everyone, trade SMART & remember the Holy Gospel: Always take profits off the table 1 Pickles",2023-12-11.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2023-12-12,1,High,executed,09:46,call,False,SPX LONG CALLS,2023-12-12.txt:62-64,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2023-12-13,0,High,,,,False,added to LONG PUTS on the PCS to BACK RATIO in event the SHORT STRIKE get's blown up ( 4640 SPX ) 1,2023-12-13.txt:1180-1186,model-draft,SPX 0DTE activity is spread-only (credit/debit spreads). No directional long (N4).,first_qualifying=spread_only -> label=0 High
2023-12-14,1,Medium,executed,10:08,call,False,"LONG SPX CALLS on ES VWAP SUPPORT, quick in & out, not expecting a re-visit to AM HIGHS, TP at +1 VWAP / OPENING CANDLE HIGH",2023-12-14.txt:115-117,model-draft,Day also contains hedge-only SPX long; directional hit(s) make day positive but review structure.,first_positive=executed_long_directional side=call -> label=1 Medium
2023-12-15,0,High,,,,False,"FRI, 15 DEC 2023 OVN INVENTORY was LONG, PAPER is mostly flat, QUAD WITCHING is taking place today, with more notional ( valued in trillions ) being changed today than any MOPEX in the past 20 years. Expect elevated V...",2023-12-15.txt:14-36,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-12-16,0,High,,,,False,,2023-12-16.txt:0,model-draft,No Pickles-authored content in file.,no_pickles_messages -> label=0 High
2023-12-17,0,High,,,,False,I am afk but ranges are posted 4584.84 - 4834.31 SPX 4 4 Pickles I am afk but ranges are posted 4584.84 - 4834.31 SPX mefy,2023-12-17.txt:6-20,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2023-12-18,0,High,,,,False,https://discord.com/channels/1026265666552090676/1163592216523055164/1165853113333317682,2023-12-18.txt:16-18,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-12-22,0,High,,,,False,Good job weekly rangers!! Have a good christmas weekend! When I get to my pc I will update and post the weekly range chart Pickles,2023-12-22.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2023-12-25,0,High,,,,False,Spx weekly ranges for 26 - 29 Dec 4604.55 - 4865.79 Good luck weekly rangers!! 4 Pickles Spx weekly ranges for 26 - 29 Dec 4604.55 - 4865.79 Good luck weekly rangers!! Pickles,2023-12-25.txt:6-22,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2023-12-29,0,High,,,,False,JPM roll notes ( 'fund 1' DEC 2023 to MAR 2024 ROLL ): roll happened at 1412 EST size 39k vs 4768.71 SPOT used 17k 4515c 0dte calls as COUNTER DELTA ( bought back part of their expiring short calls ) SHORT CALLS 5015 ...,2023-12-29.txt:28-41,model-draft,Keyword hits only reference third-party trades (e.g. JPM roll commentary). Not Pickles' own execution.,"categories=['third_party', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2023-12-30,0,High,,,,False,That’s what I figured about a billion dollar loss but you’re totally right it was outweighed by the gains but barely lol Pickles,2023-12-30.txt:6-10,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-01-01,0,High,,,,False,WEEKLY SPX RANGES 3 1 Pickles,2024-01-01.txt:6-16,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-01-03,0,High,,,,False,"if RTH turns out to be a TREND DOWN day, will convert the CCS into a CALL LADDER SPREAD and WRITE CALLS on the way down",2024-01-03.txt:44-44,model-draft,SPX 0DTE activity is spread-only (credit/debit spreads). No directional long (N4).,first_qualifying=spread_only -> label=0 High
2024-01-04,1,High,executed,10:03,put,False,"going into LONG PUTS here Green TICKS are weak on this run-up. small position size until red TICKS start to come in, then scale in more",2024-01-04.txt:94-98,model-draft,,first_positive=executed_long_directional side=put -> label=1 High
2024-01-05,1,High,executed,09:48,call,False,SPX LONG CALLS on push up through OVNH,2024-01-05.txt:73-77,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2024-01-07,0,High,,,,False,===================================================================== =====================================================================,2024-01-07.txt:6-8,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-01-12,0,High,,,,False,good job weekly rangers!! 2 Pickles,2024-01-12.txt:6-14,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-01-13,0,High,,,,False,^ chart got a little dolled up to add more signals / indicators to stand out more 1 Pickles,2024-01-13.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-01-14,0,High,,,,False,===================================================================== =====================================================================,2024-01-14.txt:6-8,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-01-17,0,High,,,,False,"Rusty is leading the big 4 in terms of weakness with NQ being in 2nd place - with ES stronger we look at XLF & XLV to see if ES will pull NQ higher, or NQ will pull ES down with it. XLRE being the weakest of the SnP s...",2024-01-17.txt:40-46,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-01-19,1,High,executed,10:22,put,False,SPX LONG PUTS on NQ & ES struggling to hold above their VWAP 2,2024-01-19.txt:109-115,model-draft,,first_positive=executed_long_directional side=put -> label=1 High
2024-01-21,0,High,,,,False,,2024-01-21.txt:0,model-draft,No Pickles-authored content in file.,no_pickles_messages -> label=0 High
2024-01-23,0,High,,,,False,1,2024-01-23.txt:18-21,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-01-26,0,High,,,,False,great job weekly rangers!! cya next week! 2 Pickles,2024-01-26.txt:6-14,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-01-28,0,High,,,,False,"SUN, 28 JAN 2024 WEEKLY SPX RANGE Did some tweaking of the model to bring slightly tighter ranges to aim for 2.25 - 3.5% weekly ROI while still over 92% win-rate to have a higher reward per unit of risk ratio ( 92% = ...",2024-01-28.txt:14-29,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-01-29,0,High,,,,False,,2024-01-29.txt:0,model-draft,No Pickles-authored content in file.,no_pickles_messages -> label=0 High
2024-02-01,0,High,,,,False,Spy? Long or short strangle?,2024-02-01.txt:18-20,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-02-02,0,High,,,,False,great job weekly rangers! see you next week 4 Pickles great job weekly rangers! see you next week Sour Cucumber In Brine,2024-02-02.txt:6-16,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-02-03,0,High,,,,False,"Nice. Market was definitely impressive this week, SPX 30pts away from 5k Pickles",2024-02-03.txt:6-10,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-02-04,0,High,,,,False,"===================================================================== ===================================================================== SUN, 4 FEB 2024 WEEKLY SPX RANGE, good luck weekly rangers! FAQ --> ⁠ https:/...",2024-02-04.txt:6-25,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-02-05,0,High,,,,False,"MON, 5 FEB 2024 OVN INVENTORY is SHORT. PAPER yields are 1.5 - 2.25% up in PRE-MARKET. PMI just after MARKET OPEN, 3 & 6 MO AUCTION at 1130 EST. Yields being up this much during PRE-MARKET isn't a bullish signal for E...",2024-02-05.txt:14-44,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-02-06,0,High,,,,False,===================================================================== =====================================================================,2024-02-06.txt:6-8,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-02-07,0,High,,,,False,"heading out, final port screenshot for WEDS, GL everyone, we're off to play house keeper and deep clean my parents house while everything is moved out to paint Wait for your A+ set-ups Trade the chart, not the bias Tr...",2024-02-07.txt:15-25,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-02-08,0,High,,,,False,"THURS, 8 FEB 2024 OVN INVENTORY is SHORT, PAPER is up slightly. Jobless at 0830 EST, 4 WK at 1130 & 30 YR at 1300. SnP was 11 cents from breaking the 5000 barrier in the previous session. both NQ & ES has been using t...",2024-02-08.txt:14-38,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-02-09,0,High,,,,False,"FRI, 9 FEB 2024 OVN INVENTORY is LONG, PAPER up slightly from the 30 YR AUCTION in PREVIOUS SESSION. SnP broke it's 5000 milestone in the closing minutes yesterday & OVN has pushed higher After the opening bell shake-...",2024-02-09.txt:14-42,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-02-11,0,High,,,,False,"===================================================================== ===================================================================== SUN, 11 FEB 2024 WEEKLY SPX RANGE, good luck weekly rangers! FAQ --> ⁠ https:...",2024-02-11.txt:11-28,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-02-16,1,Medium,executed,10:03,,False,LONG SPX for 1000 MAGIC TIME,2024-02-16.txt:84-86,model-draft,Side ambiguous from keywords; requires human review.,first_positive=executed_long_directional side=none -> label=1 Medium
2024-02-18,0,High,,,,False,This could be the first week I need to actively defend one of the SHORTS ( likely the PUTS ) first defense: 5-wide FRI PDS at $1.25 75% towards the SHORT PUT which is around ~4909 SPX ( or a 10-wide PDS at $2.50 ) sec...,2024-02-18.txt:23-31,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-02-19,0,High,,,,False,,2024-02-19.txt:0,model-draft,No Pickles-authored content in file.,no_pickles_messages -> label=0 High
2024-02-20,0,High,,,,False,"===================================================================== ===================================================================== TUES, 20 FEB 2024 Started building into a CL LONG position with the MAY CONTR...",2024-02-20.txt:13-49,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-02-21,0,High,,,,False,"WEDS, 21 FEB 2024 OVN INVENTORY was SHORT, price having spent only one 5m candle above yesterday's RTH CLOSE. PAPER is down slightly, and FOMC MINUTES at 1400 EST being the potential big mover today. Eyes on NVDA and ...",2024-02-21.txt:16-49,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-02-22,0,High,executed,,,True,"LONG SPX 4085 to effectively convert into a back ratio'd ( ~2:3 ) 10-wide CDS with the 4095 SHORT CALLS from the weekly range. The DELTA from the 4085's will out-pace the DELTA from the 4095's, the defense will result...",2024-02-22.txt:44-66,model-draft,SPX long executed but structurally paired with existing SPX short leg (N5 hedge-only). Subsequent exit references on the same day close the same hedge position — not a separate directional bet. label=0.,has_hedge and no_separate_directional -> label=0 High hedge_only=True
2024-02-23,0,High,,,,False,"I made mis-calculation on the total capital, it should be $121,050 will edit and have it correctly posted on next weeks chart",2024-02-23.txt:26-30,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-02-24,0,High,,,,False,8.12%!!!! detatchablepenis 8.12%!!!! Pickles,2024-02-24.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-02-25,0,High,,,,False,"Yes, with ICs the objective is to 'harvest premium' or collecting the TIME VALUE in a contract as it comes closer to EXPIRY. the closer to EXPIRY the faster that TIME VALUE drops. that time 'decay' is what the IC make...",2024-02-25.txt:36-36,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-02-26,0,High,,,,False,"depends on margin. If setting up a IC uses $8,000 margin for example, you should be keeping an additional $4,000 in reserve as margin cushion ( 12k total --> 8k for the positon + 4k more for cusion ) splitting it up i...",2024-02-26.txt:17-23,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-02-27,0,High,,,,False,,2024-02-27.txt:0,model-draft,No Pickles-authored content in file.,no_pickles_messages -> label=0 High
2024-02-28,0,High,,,,False,1,2024-02-28.txt:28-31,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-02-29,0,High,,,,False,,2024-02-29.txt:0,model-draft,No Pickles-authored content in file.,no_pickles_messages -> label=0 High
2024-03-01,0,High,,,,False,Good work weekly rangers!! cya next week! 1,2024-03-01.txt:16-20,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-03-03,0,High,,,,False,===================================================================== =====================================================================,2024-03-03.txt:6-8,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-03-04,0,High,,,,False,PCS & CCS 0DTE SPX to effectively make an IC 1 1,2024-03-04.txt:51-59,model-draft,SPX 0DTE activity is spread-only (credit/debit spreads). No directional long (N4).,first_qualifying=spread_only -> label=0 High
2024-03-08,0,High,,,,False,Good job weekly rangers! Cya next week!! 4 1 Pickles,2024-03-08.txt:6-16,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-03-10,0,High,,,,False,"===================================================================== ===================================================================== SUN, 10 MAR 2024 WEEKLY SPX RANGE, good luck weekly rangers!! NOTE --> RANGE ...",2024-03-10.txt:6-55,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-03-15,0,High,,,,False,good job weekly rangers! cya next week,2024-03-15.txt:12-16,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-03-17,0,High,,,,False,"SUN, 17 MAR 2024 We're starting to be showing overbought MOMO on the DAILY & WEEKLY Possible 4hr SUPPLY ZONE has formed ( need BoS- Break of Structure to confirm it ) OVERBOUGHT doesn't mean ""SELL OFF"" it could just g...",2024-03-17.txt:14-36,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-03-18,0,High,,,,False,0DTE SPX CCS just inside the PW HIGH,2024-03-18.txt:58-60,model-draft,SPX 0DTE activity is spread-only (credit/debit spreads). No directional long (N4).,first_qualifying=spread_only -> label=0 High
2024-03-20,0,High,,,,False,"first defense: convert the SHORT STRIKE of the CALL-SIDE of the IC into a CDS with FRI EXPIRY and BACK RATIO into positive DELTA to help offset the losses second defense: close out of CALL-SIDE of the IC at a loss, th...",2024-03-20.txt:68-76,model-draft,SPX 0DTE activity is spread-only (credit/debit spreads). No directional long (N4).,first_qualifying=spread_only -> label=0 High
2024-03-21,0,High,,,,False,Or just clench through?? Pickles high range officially breached,2024-03-21.txt:6-10,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-03-22,0,High,,,,False,"FRI, 22 MAR 2024 OVN INVENTORY was SHORT, with ASIA AM HIGH acting as ceiling that EURO could not break through. PAPER is down ~1% during PRE-MARKET. Few FED speakers today, but should not be much of an event as they'...",2024-03-22.txt:14-38,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-03-23,0,High,,,,False,Wow lmao Pickles,2024-03-23.txt:6-10,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
